Codigo_temporada;Codigo_competicion;Codigo_fase;Codigo_grupo;Codigo_equipo;Posicion;Puntos;Partidos_jugados;Partidos_ganados;Partidos_empatados;Partidos_perdidos;Goles_favor;Goles_contra;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_equipo;Nombre-Sexo;Nombre_distrito
2024;8903 ;9805;26125;155644;1;.00;0;0;0;0;0;0;2024/2025;TORNEO PADEL ARAVACA;TORNEO PADEL ARAVACA;T PADEL MON ARAVACA;PADEL;SENIOR ;JUAN MANUEL SIGUENZA - RAUL GOMEZ;MIXTO;Moncloa - Aravaca
2024;8903 ;9805;26125;155646;2;.00;0;0;0;0;0;0;2024/2025;TORNEO PADEL ARAVACA;TORNEO PADEL ARAVACA;T PADEL MON ARAVACA;PADEL;SENIOR ;IAGO GROBA - MARCOS POZA;MIXTO;Moncloa - Aravaca
2024;8891 ;9788;26017;155655;1;.00;0;0;0;0;0;0;2024/2025;TORNEO SAN MIGUEL;Fase de grupo;San Miguel CHM FS SENIOR;FUTBOL SALA;SENIOR ;BASI;MASCULINO;Chamartín
2024;8891 ;9788;26017;155654;2;.00;0;0;0;0;0;0;2024/2025;TORNEO SAN MIGUEL;Fase de grupo;San Miguel CHM FS SENIOR;FUTBOL SALA;SENIOR ;Motorauto;MASCULINO;Chamartín
2024;8891 ;9788;26016;157981;1;.00;0;0;0;0;0;0;2024/2025;TORNEO SAN MIGUEL;Fase de grupo;San Miguel CHM FS BENJAMIN;FUTBOL SALA;BENJAMIN ;Mª Virgen;MIXTO;Chamartín
2024;8891 ;9788;26016;157978;2;.00;0;0;0;0;0;0;2024/2025;TORNEO SAN MIGUEL;Fase de grupo;San Miguel CHM FS BENJAMIN;FUTBOL SALA;BENJAMIN ;FEFC SANTA CATALINA A;MIXTO;Chamartín
2024;8891 ;9788;26015;157984;1;.00;0;0;0;0;0;0;2024/2025;TORNEO SAN MIGUEL;Fase de grupo;San Miguel CHM FS ALEVIN;FUTBOL SALA;ALEVIN ;Mª Virgen A;MIXTO;Chamartín
2024;8891 ;9788;26015;155651;2;.00;0;0;0;0;0;0;2024/2025;TORNEO SAN MIGUEL;Fase de grupo;San Miguel CHM FS ALEVIN;FUTBOL SALA;ALEVIN ;FEFC SANTA CATALINA;MIXTO;Chamartín
2024;8854 ;9681;26524;166394;8;.00;1;0;0;0;0;2;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CEN SAB TAR VB CAD FEM;VOLEIBOL;CADETE ;AGORA MADRID;FEMENINO;Centro
2024;8854 ;9681;26524;166395;2;3.00;1;1;0;0;2;0;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CEN SAB TAR VB CAD FEM;VOLEIBOL;CADETE ;C.D. LAS NIEVES;FEMENINO;Centro
2024;8854 ;9681;26524;166396;3;2.00;1;0;0;0;2;1;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CEN SAB TAR VB CAD FEM;VOLEIBOL;CADETE ;Colegio Estudiantes las Tablas B;FEMENINO;Centro
2024;8854 ;9681;26524;166397;5;.00;0;0;0;0;0;0;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CEN SAB TAR VB CAD FEM;VOLEIBOL;CADETE ;COLEGIO TRES OLIVOS;FEMENINO;Centro
